Organism,class,Sequence_Length
Human,3,462
Human,3,1728
Human,3,1707
Human,4,273
Human,4,954
Human,4,273
Human,4,360
Human,4,273
Human,4,147
Human,3,1506
Human,3,567
Human,3,546
Human,3,527
Human,3,406
Human,3,540
Human,6,1197
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,0,1062
Human,0,153
Human,4,909
Human,4,252
Human,4,403
Human,4,282
Human,4,359
Human,4,1659
Human,6,300
Human,6,1194
Human,0,4188
Human,0,4188
Human,0,4188
Human,0,4188
Human,4,1503
Human,4,1506
Human,4,339
Human,4,144
Human,4,288
Human,4,532
Human,2,5847
Human,2,4506
Human,2,5733
Human,2,387
Human,2,272
Human,2,237
Human,2,4518
Human,2,4506
Human,5,2424
Human,5,2406
Human,5,2241
Human,5,786
Human,5,2589
Human,5,1143
Human,3,426
Human,3,258
Human,3,1443
Human,3,1443
Human,0,2259
Human,0,2088
Human,0,2088
Human,3,1434
Human,3,246
Human,3,753
Human,3,321
Human,3,725
Human,3,8
Human,4,1638
Human,4,1455
Human,4,519
Human,0,1923
Human,0,2127
Human,0,1929
Human,0,1929
Human,4,1545
Human,4,776
Human,4,510
Human,4,688
Human,4,231
Human,4,624
Human,4,1263
Human,5,2343
Human,6,2997
Human,6,2937
Human,6,2934
Human,6,2874
Human,6,825
Human,6,319
Human,3,2169
Human,3,1869
Human,3,2169
Human,3,2127
Human,3,2094
Human,3,2094
Human,3,2034
Human,3,1095
Human,3,639
Human,3,458
Human,3,434
Human,3,404
Human,3,299
Human,3,1869
Human,3,2139
Human,3,421
Human,3,804
Human,3,584
Human,3,280
Human,3,528
Human,3,237
Human,3,990
Human,3,144
Human,3,237
Human,3,144
Human,3,528
Human,3,1110
Human,3,804
Human,3,171
Human,3,237
Human,3,67
Human,3,486
Human,3,312
Human,3,733
Human,3,963
Human,3,783
Human,3,432
Human,3,852
Human,3,852
Human,3,144
Human,6,2301
Human,6,2301
Human,0,1137
Human,1,4092
Human,1,3897
Human,1,3921
Human,1,427
Human,1,888
Human,3,574
Human,3,1530
Human,3,627
Human,3,357
Human,0,9243
Human,0,8628
Human,0,9243
Human,3,1305
Human,3,792
Human,3,267
Human,3,291
Human,5,204
Human,5,3351
Human,5,452
Human,5,300
Human,5,222
Human,5,221
Human,3,2958
Human,4,1134
Human,4,1041
Human,4,528
Human,6,52
Human,6,2049
Human,6,1632
Human,6,252
Human,6,681
Human,6,79
Human,6,223
Human,6,1278
Human,6,1197
Human,6,1632
Human,6,2049
Human,1,2478
Human,1,2520
Human,1,2595
Human,1,2454
Human,1,441
Human,1,1854
Human,1,2118
Human,1,1839
Human,1,150
Human,1,257
Human,1,271
Human,1,1839
Human,1,2454
Human,1,2520
Human,1,2496
Human,0,1842
Human,6,477
Human,6,165
Human,6,237
Human,6,303
Human,6,438
Human,0,1446
Human,6,1038
Human,6,1038
Human,3,1734
Human,3,615
Human,3,750
Human,3,1734
Human,3,462
Human,6,511
Human,6,234
Human,6,816
Human,6,168
Human,6,600
Human,6,1389
Human,6,1389
Human,6,414
Human,0,2466
Human,0,2238
Human,0,2661
Human,0,2130
Human,0,2604
Human,0,956
Human,2,195
Human,2,509
Human,2,4911
Human,6,1776
Human,6,3366
Human,6,1776
Human,6,3447
Human,1,1518
Human,1,1305
Human,6,1155
Human,6,1446
Human,6,368
Human,6,503
Human,6,442
Human,6,460
Human,6,807
Human,6,810
Human,6,810
Human,6,810
Human,6,303
Human,6,303
Human,6,216
Human,6,429
Human,6,615
Human,6,444
Human,6,318
Human,6,289
Human,6,430
Human,6,3318
Human,6,3810
Human,6,528
Human,6,456
Human,6,309
Human,6,3837
Human,6,177
Human,6,508
Human,6,530
Human,6,506
Human,6,376
Human,6,1546
Human,6,397
Human,6,268
Human,6,97
Human,6,3813
Human,6,348
Human,6,3813
Human,0,1038
Human,0,903
Human,0,362
Human,6,2736
Human,6,2187
Human,6,2079
Human,6,627
Human,6,660
Human,6,346
Human,1,4017
Human,1,2202
Human,1,2064
Human,1,1998
Human,1,1626
Human,1,1302
Human,1,258
Human,1,258
Human,1,1086
Human,6,819
Human,2,1383
Human,2,1782
Human,2,1794
Human,2,327
Human,2,588
Human,2,648
Human,1,1980
Human,1,2082
Human,1,1452
Human,1,1707
Human,0,1137
Human,3,138
Human,3,1848
Human,3,165
Human,3,550
Human,3,1719
Human,3,1923
Human,3,1809
Human,3,258
Human,3,315
Human,0,1071
Human,6,1128
Human,6,1308
Human,6,657
Human,6,1308
Human,3,3063
Human,3,783
Human,3,69
Human,3,75
Human,3,2808
Human,3,206
Human,3,324
Human,4,1977
Human,4,570
Human,4,1632
Human,6,612
Human,6,645
Human,6,1206
Human,0,930
Human,0,930
Human,0,930
Human,0,930
Human,0,1023
Human,0,2070
Human,0,1227
Human,3,2409
Human,3,447
Human,3,2301
Human,3,2301
Human,4,4305
Human,4,4407
Human,4,4407
Human,4,4302
Human,4,1845
Human,4,1860
Human,3,2172
Human,3,387
Human,3,2172
Human,3,171
Human,3,2271
Human,3,396
Human,3,168
Human,3,357
Human,3,201
Human,3,151
Human,3,201
Human,3,171
Human,5,108
Human,5,267
Human,5,7566
Human,5,555
Human,5,545
Human,5,1122
Human,2,2103
Human,2,420
Human,2,450
Human,2,461
Human,2,324
Human,2,1929
Human,2,357
Human,2,1611
Human,6,1272
Human,0,2904
Human,0,2748
Human,0,1047
Human,0,698
Human,0,2487
Human,0,1008
Human,0,199
Human,3,3789
Human,3,525
Human,3,990
Human,3,218
Human,3,525
Human,3,3729
Human,3,3459
Human,2,1200
Human,2,1398
Human,2,1083
Human,2,351
Human,2,423
Human,2,231
Human,2,1326
Human,2,366
Human,2,490
Human,2,461
Human,2,464
Human,2,459
Human,2,420
Human,2,306
Human,2,351
Human,4,1080
Human,4,420
Human,4,348
Human,4,2112
Human,6,1122
Human,6,648
Human,6,1038
Human,6,1038
Human,6,816
Human,6,99
Human,0,363
Human,0,2622
Human,0,2622
Human,0,2994
Human,0,3240
Human,0,263
Human,1,2982
Human,1,2220
Human,0,1368
Human,0,375
Human,0,649
Human,0,387
Human,0,282
Human,5,3315
Human,5,978
Human,5,579
Human,5,498
Human,5,1131
Human,5,420
Human,5,2262
Human,5,1020
Human,5,441
Human,5,2376
Human,5,168
Human,5,168
Human,5,2373
Human,5,2298
Human,5,2328
Human,3,672
Human,3,927
Human,3,927
Human,3,927
Human,4,143
Human,4,587
Human,4,573
Human,4,375
Human,4,189
Human,6,822
Human,6,912
Human,6,552
Human,4,483
Human,4,393
Human,4,384
Human,4,420
Human,4,375
Human,4,495
Human,0,1290
Human,0,1200
Human,0,614
Human,4,312
Human,4,231
Human,6,3561
Human,6,555
Human,6,609
Human,6,3555
Human,6,1032
Human,6,1683
Human,6,168
Human,6,465
Human,6,297
Human,3,3192
Human,3,2772
Human,3,978
Human,3,3282
Human,3,345
Human,3,3186
Human,4,1761
Human,4,1761
Human,4,399
Human,4,1761
Human,6,1050
Human,6,1698
Human,6,261
Human,0,2067
Human,0,138
Human,0,1164
Human,3,3552
Human,3,865
Human,3,285
Human,3,1100
Human,3,522
Human,1,7044
Human,1,7026
Human,1,294
Human,3,3192
Human,3,978
Human,3,345
Human,3,3282
Human,3,3186
Human,0,1002
Human,6,1287
Human,6,1287
Human,6,288
Human,3,4539
Human,3,2905
Human,3,585
Human,4,660
Human,4,1380
Human,4,309
Human,4,1131
Human,4,694
Human,4,309
Human,4,1248
Human,4,477
Human,4,1422
Human,4,327
Human,4,906
Human,5,2934
Human,5,2949
Human,5,2415
Human,5,972
Human,5,2511
Human,5,2682
Human,5,2487
Human,5,2415
Human,5,1383
Human,3,3033
Human,3,3033
Human,3,3033
Human,3,921
Human,3,1302
Human,3,438
Human,3,723
Human,3,695
Human,3,416
Human,3,408
Human,4,1056
Human,4,336
Human,4,237
Human,4,588
Human,4,1179
Human,4,222
Human,4,408
Human,4,540
Human,4,588
Human,4,779
Human,4,282
Human,4,201
Human,4,282
Human,4,234
Human,4,234
Human,4,1005
Human,6,876
Human,6,1014
Human,4,210
Human,2,504
Human,2,411
Human,2,429
Human,2,222
Human,2,201
Human,2,210
Human,2,189
Human,2,66
Human,2,210
Human,2,201
Human,2,446
Human,2,1800
Human,2,3921
Human,2,2205
Human,2,3438
Human,2,111
Human,2,264
Human,2,2259
Human,2,355
Human,6,2346
Human,6,2142
Human,6,2217
Human,6,2142
Human,0,1413
Human,0,312
Human,0,918
Human,0,918
Human,6,510
Human,6,816
Human,6,708
Human,6,408
Human,6,38
Human,2,621
Human,0,1086
Human,6,1683
Human,6,168
Human,6,465
Human,6,297
Human,6,843
Human,6,2256
Human,6,2244
Human,6,1641
Human,6,1059
Human,6,2088
Human,6,1071
Human,6,2358
Human,6,2358
Human,6,2736
Human,6,2202
Human,6,2736
Human,6,2736
Human,0,1104
Human,0,410
Human,0,1104
Human,0,1104
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,4,1506
Human,4,1521
Human,4,1050
Human,4,243
Human,4,636
Human,0,1305
Human,6,2604
Human,6,2604
Human,6,418
Human,6,2604
Human,6,1002
Human,6,459
Human,3,2496
Human,3,387
Human,3,2247
Human,3,2181
Human,3,2220
Human,3,138
Human,3,231
Human,3,135
Human,6,1272
Human,5,4512
Human,5,431
Human,5,4512
Human,5,4662
Human,5,4350
Human,5,744
Human,6,2121
Human,6,2277
Human,6,1677
Human,6,1515
Human,6,471
Human,6,471
Human,6,469
Human,2,1110
Human,2,1698
Human,2,516
Human,2,1602
Human,2,1626
Human,5,2418
Human,5,189
Human,5,120
Human,5,216
Human,6,2004
Human,6,1944
Human,6,1368
Human,6,300
Human,6,1626
Human,6,2013
Human,6,153
Human,6,1896
Human,6,309
Human,6,1524
Human,6,2004
Human,6,2016
Human,6,2016
Human,6,1944
Human,6,1536
Human,6,1878
Human,6,1932
Human,6,1944
Human,6,1929
Human,6,246
Human,6,1614
Human,6,1803
Human,6,1614
Human,6,1524
Human,6,1791
Human,6,1824
Human,6,1995
Human,6,1836
Human,6,1752
Human,6,2034
Human,6,2322
Human,6,1614
Human,6,1356
Human,6,945
Human,6,243
Human,6,709
Human,6,501
Human,6,674
Human,6,622
Human,6,538
Human,6,534
Human,6,863
Human,6,685
Human,6,491
Human,6,488
Human,6,465
Human,6,608
Human,6,841
Human,6,405
Human,6,403
Human,6,386
Human,6,358
Human,6,356
Human,6,629
Human,6,612
Human,6,663
Human,6,537
Human,6,195
Human,6,476
Human,6,496
Human,6,438
Human,6,405
Human,6,468
Human,6,418
Human,6,169
Human,6,375
Human,6,405
Human,6,246
Human,6,504
Human,6,186
Human,6,1752
Human,6,216
Human,6,526
Human,6,546
Human,6,462
Human,6,321
Human,6,408
Human,6,408
Human,6,375
Human,6,546
Human,6,375
Human,6,2112
Human,6,2103
Human,6,427
Human,6,2031
Human,6,701
Human,6,2031
Human,6,651
Human,6,231
Human,6,631
Human,6,797
Human,6,441
Human,6,1713
Human,6,859
Human,6,628
Human,6,354
Human,6,1422
Human,4,222
Human,4,597
Human,4,900
Human,4,1002
Human,4,885
Human,4,630
Human,4,1005
Human,4,497
Human,4,392
Human,4,367
Human,4,213
Human,4,255
Human,4,521
Human,4,180
Human,4,648
Human,4,510
Human,4,489
Human,6,1611
Human,6,642
Human,6,1557
Human,4,1446
Human,4,507
Human,4,315
Human,4,1446
Human,4,822
Human,3,762
Human,3,510
Human,3,2328
Human,3,228
Human,3,2211
Human,3,303
Human,3,405
Human,3,2295
Human,3,252
Human,3,1893
Human,3,135
Human,3,276
Human,3,584
Human,3,1026
Human,3,525
Human,3,521
Human,3,1017
Human,3,204
Human,3,288
Human,3,520
Human,3,206
Human,3,574
Human,3,548
Human,3,303
Human,3,563
Human,3,303
Human,3,303
Human,4,3612
Human,4,2994
Human,4,1890
Human,4,1845
Human,4,921
Human,0,2733
Human,0,483
Human,0,414
Human,0,657
Human,0,2142
Human,2,4398
Human,2,4359
Human,2,4173
Human,2,520
Human,2,793
Human,2,624
Human,2,714
Human,2,840
Human,6,114
Human,6,1566
Human,6,1566
Human,6,1500
Human,6,1629
Human,6,831
Human,6,1524
Human,6,1458
Human,6,1500
Human,2,115
Human,2,115
Human,2,115
Human,6,1545
Human,6,212
Human,6,373
Human,6,1545
Human,6,85
Human,6,325
Human,6,1545
Human,6,333
Human,6,1365
Human,6,465
Human,6,258
Human,6,1809
Human,6,1791
Human,6,1470
Human,6,1380
Human,6,1368
Human,6,1431
Human,6,1755
Human,6,667
Human,6,325
Human,6,502
Human,6,425
Human,6,620
Human,6,474
Human,6,351
Human,6,327
Human,6,182
Human,6,1227
Human,6,1740
Human,6,1860
Human,6,1449
Human,6,1605
Human,6,1824
Human,6,384
Human,0,1077
Human,5,1944
Human,5,2001
Human,3,489
Human,3,1932
Human,3,219
Human,3,174
Human,3,138
Human,3,1856
Human,3,739
Human,3,291
Human,3,192
Human,1,127
Human,1,2469
Human,1,366
Human,1,2085
Human,1,507
Human,1,2046
Human,1,442
Human,1,1638
Human,1,344
Human,1,2295
Human,1,2259
Human,6,1488
Human,6,1590
Human,6,195
Human,6,416
Human,6,276
Human,6,144
Human,4,1200
Human,4,1284
Human,4,1152
Human,4,1125
Human,4,460
Human,4,469
Human,4,553
Human,4,405
Human,4,600
Human,5,1197
Human,6,1368
Human,6,1371
Human,6,1440
Human,6,1092
Human,6,1389
Human,6,1461
Human,6,1392
Human,6,1164
Human,6,1461
Human,6,1389
Human,6,663
Human,3,1737
Human,3,619
Human,0,4041
Human,0,4041
Human,4,2562
Human,4,162
Human,4,1452
Human,4,1206
Human,4,1452
Human,0,1362
Human,0,900
Human,4,939
Human,4,939
Human,4,396
Human,4,552
Human,4,543
Human,4,519
Human,4,426
Human,4,537
Human,4,294
Human,4,506
Human,0,1302
Human,3,490
Human,3,114
Human,3,225
Human,3,2106
Human,3,443
Human,3,183
Human,3,547
Human,3,609
Human,3,375
Human,3,564
Human,3,2145
Human,6,1044
Human,6,500
Human,1,3549
Human,1,3195
Human,1,3504
Human,1,3132
Human,1,3486
Human,1,3177
Human,1,3240
Human,1,1629
Human,6,3687
Human,6,3903
Human,6,3288
Human,6,453
Human,6,2883
Human,6,1038
Human,6,1038
Human,5,1725
Human,5,1587
Human,5,792
Human,5,1191
Human,5,1689
Human,5,384
Human,5,204
Human,5,3351
Human,5,452
Human,5,300
Human,5,222
Human,5,221
Human,6,1389
Human,6,1389
Human,6,414
Human,0,1212
Human,0,1215
Human,0,1212
Human,0,1212
Human,0,533
Human,0,445
Human,0,270
Human,0,259
Human,0,77
Human,3,3795
Human,3,865
Human,3,522
Human,0,2781
Human,0,2568
Human,0,2256
Human,4,1707
Human,4,528
Human,6,1044
Human,6,957
Human,0,1113
Human,0,1113
Human,0,1113
Human,0,1113
Human,0,364
Human,0,213
Human,2,2343
Human,2,132
Human,2,135
Human,2,1986
Human,2,1953
Human,2,260
Human,2,643
Human,2,53
Human,2,342
Human,2,704
Human,6,1296
Human,6,1296
Human,6,1218
Human,6,432
Human,0,1662
Human,5,1692
Human,5,1539
Human,4,1875
Human,6,972
Human,3,1983
Human,3,177
Human,3,342
Human,3,390
Human,3,177
Human,1,1530
Human,1,601
Human,1,957
Human,1,447
Human,1,413
Human,1,503
Human,1,855
Human,1,1620
Human,1,1530
Human,1,1551
Human,6,1038
Human,6,1038
Human,3,120
Human,3,612
Human,3,699
Human,3,135
Human,4,1356
Human,4,1206
Human,4,2775
Human,4,2484
Human,4,2853
Human,5,2520
Human,5,2520
Human,5,2520
Human,5,2520
Human,5,2553
Human,5,2490
Human,5,2340
Human,6,246
Human,6,1320
Human,6,342
Human,6,1302
Human,6,1296
Human,6,366
Human,6,1314
Human,6,987
Human,6,657
Human,6,408
Human,6,519
Human,6,2283
Human,6,2073
Human,6,858
Human,6,819
Human,6,255
Human,6,735
Human,6,31
Human,6,147
Human,6,1137
Human,6,1098
Human,6,272
Human,6,82
Human,6,148
Human,6,410
Human,6,526
Human,6,2019
Human,6,819
Human,6,219
Human,6,120
Human,6,2283
Human,6,48
Human,6,289
Human,6,104
Human,6,819
Human,6,574
Human,6,531
Human,6,537
Human,6,1992
Human,6,1992
Human,6,230
Human,6,1989
Human,6,1098
Human,6,405
Human,6,567
Human,6,315
Human,6,1098
Human,6,933
Human,6,933
Human,6,849
Human,6,147
Human,6,498
Human,6,653
Human,6,317
Human,0,677
Human,0,189
Human,0,1428
Human,0,95
Human,0,659
Human,0,420
Human,0,1041
Human,0,396
Human,0,720
Human,0,501
Human,0,236
Human,0,1191
Human,0,1254
Human,0,418
Human,0,469
Human,0,267
Human,0,963
Human,6,522
Human,4,2409
Human,5,2298
Human,5,366
Human,5,170
Human,5,2298
Human,6,273
Human,4,2232
Human,4,2232
Human,6,1017
Human,6,135
Human,6,504
Human,6,345
Human,6,1329
Human,5,1235
Human,6,3903
Human,6,3675
Human,6,453
Human,6,2880
Human,4,156
Human,4,1134
Human,4,687
Human,4,1143
Human,4,914
Human,4,748
Human,4,668
Human,4,577
Human,4,386
Human,4,1143
Human,2,2781
Human,2,225
Human,2,484
Human,2,366
Human,2,408
Human,2,594
Human,2,660
Human,0,1086
Human,6,717
Human,6,624
Human,6,624
Human,6,394
Human,6,1008
Human,6,960
Human,6,3027
Human,6,3030
Human,6,3030
Human,6,3030
Human,6,1276
Human,0,1248
Human,0,178
Human,0,1248
Human,0,1098
Human,0,1014
Human,0,1098
Human,1,1647
Human,1,1632
Human,1,1632
Human,2,522
Human,2,447
Human,2,211
Human,2,264
Human,2,522
Human,2,447
Human,3,1734
Human,3,1497
Human,3,1734
Human,3,1734
Human,3,333
Human,3,603
Human,3,627
Human,3,450
Human,3,185
Human,3,354
Human,3,317
Human,3,1734
Human,0,1623
Human,1,3030
Human,1,205
Human,1,311
Human,1,3030
Human,1,553
Human,1,639
Human,1,2904
Human,1,584
Human,1,2904
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,417
Human,1,190
Human,3,957
Human,3,507
Human,3,657
Human,3,345
Human,4,141
Human,4,1677
Human,4,1515
Human,4,702
Human,4,1293
Human,4,456
Human,4,141
Human,4,532
Human,4,548
Human,4,446
Human,1,195
Human,1,3009
Human,1,3564
Human,1,429
Human,1,408
Human,1,2766
Human,1,249
Human,1,584
Human,1,356
Human,1,404
Human,1,3564
Human,4,394
Human,4,300
Human,4,1092
Human,4,930
Human,4,1092
Human,4,225
Human,4,642
Human,4,123
Human,4,261
Human,4,81
Human,4,882
Human,0,4155
Human,0,4296
Human,0,4425
Human,0,4386
Human,0,4380
Human,0,4251
Human,0,4212
Human,0,3534
Human,0,3372
Human,0,4212
Human,0,4056
Human,0,1416
Human,0,4296
Human,0,4380
Human,0,960
Human,0,960
Human,0,726
Human,0,960
Human,0,960
Human,5,2178
Human,5,270
Human,5,63
Human,0,2472
Human,0,2439
Human,0,2298
Human,0,2325
Human,0,2193
Human,0,2046
Human,0,2496
Human,0,993
Human,0,1140
Human,1,1590
Human,1,1590
Human,1,1590
Human,1,938
Human,1,1590
Human,6,753
Human,6,769
Human,6,420
Human,6,148
Human,6,97
Human,6,1443
Human,6,1170
Human,6,117
Human,6,1362
Human,6,1443
Human,4,419
Human,4,1506
Human,4,232
Human,6,741
Human,6,645
Human,6,660
Human,6,1389
Human,6,1389
Human,6,414
Human,0,960
Human,0,54
Human,0,960
Human,4,263
Human,4,407
Human,4,396
Human,4,4017
Human,4,310
Human,4,350
Human,4,189
Human,4,1158
Human,4,396
Human,6,1044
Human,0,1011
Human,6,1353
Human,6,355
Human,4,741
Human,4,114
Human,6,750
Human,0,450
Human,0,2073
Human,0,477
Human,6,1647
Human,6,1299
Human,6,285
Human,6,1647
Human,6,546
Human,6,711
Human,6,417
Human,0,2196
Human,4,387
Human,4,1179
Human,4,1179
Human,4,1179
Human,4,1179
Human,4,1350
Human,4,1179
Human,4,63
Human,2,195
Human,2,379
Human,2,195
Human,2,681
Human,2,1020
Human,2,687
Human,2,438
Human,2,411
Human,2,1020
Human,2,594
Human,2,621
Human,2,1020
Human,2,654
Human,2,1236
Human,2,195
Human,2,681
Human,2,195
Human,2,315
Human,2,810
Human,2,189
Human,2,204
Human,2,438
Human,2,195
Human,2,438
Human,2,1263
Human,2,189
Human,2,438
Human,2,1020
Human,0,7104
Human,3,1938
Human,4,2781
Human,4,2781
Human,4,1536
Human,4,2199
Human,4,66
Human,6,1389
Human,6,1389
Human,6,414
Human,2,1239
Human,2,426
Human,2,1974
Human,2,1638
Human,2,1239
Human,2,596
Human,2,1356
Human,6,2736
Human,6,429
Human,6,240
Human,6,1263
Human,6,546
Human,6,404
Human,6,224
Human,6,2736
Human,6,1755
Human,6,1185
Human,6,1095
Human,6,711
Human,6,301
Human,0,1581
Human,0,1314
Human,0,1959
Human,0,174
Human,0,1803
Human,3,388
Human,3,1851
Human,3,1440
Human,3,427
Human,3,2001
Human,3,2001
Human,3,405
Human,3,228
Human,3,405
Human,3,354
Human,3,114
Human,4,1650
Human,4,1650
Human,4,411
Human,4,1650
Human,4,234
Human,4,1590
Human,4,1590
Human,4,189
Human,4,361
Human,4,189
Human,6,1347
Human,6,1233
Human,4,150
Human,4,1203
Human,4,1401
Human,4,372
Human,4,1362
Human,4,573
Human,4,396
Human,4,421
Human,4,439
Human,4,447
Human,4,434
Human,4,434
Human,4,422
Human,4,473
Human,4,362
Human,4,353
Human,4,344
Human,4,536
Human,4,427
Human,4,242
Human,4,200
Human,4,228
Human,5,3480
Human,5,3498
Human,5,3522
Human,5,3501
Human,5,847
Human,5,584
Human,5,885
Human,5,930
Human,5,613
Human,5,329
Human,5,885
Human,4,435
Human,4,1011
Human,4,1056
Human,4,639
Human,4,843
Human,4,741
Human,4,456
Human,4,309
Human,4,111
Human,0,1503
Human,0,255
Human,0,1737
Human,0,1641
Human,0,1599
Human,6,1389
Human,6,1389
Human,4,807
Human,4,807
Human,4,807
Human,6,504
Human,6,192
Human,6,846
Human,6,153
Human,6,153
Human,6,168
Human,6,117
Human,6,750
Human,6,621
Human,6,621
Human,4,1062
Human,4,1260
Human,4,243
Human,4,1062
Human,4,823
Human,4,1260
Human,4,522
Human,4,1062
Human,4,747
Human,1,1182
Human,1,2814
Human,1,2649
Human,3,3795
Human,3,865
Human,3,522
Human,5,2796
Human,5,2562
Human,5,2448
Human,5,2631
Human,6,546
Human,5,6069
Human,5,912
Human,5,6054
Human,5,6054
Human,2,440
Human,2,1372
Human,2,1714
Human,2,1516
Human,2,1231
Human,2,105
Human,2,258
Human,2,1570
Human,2,349
Human,2,276
Human,6,3426
Human,6,2055
Human,6,771
Human,6,1965
Human,2,1164
Human,2,339
Human,2,1233
Human,2,1062
Human,2,456
Human,2,441
Human,2,1248
Human,2,1161
Human,2,129
Human,2,498
Human,2,129
Human,2,204
Human,4,1563
Human,4,1563
Human,4,287
Human,3,1356
Human,3,142
Human,3,1356
Human,3,306
Human,4,3462
Human,4,3345
Human,4,1263
Human,4,1302
Human,4,303
Human,0,1008
Human,3,2496
Human,3,387
Human,3,2247
Human,3,2181
Human,3,2220
Human,3,138
Human,3,231
Human,3,135
Human,0,1215
Human,0,801
Human,0,515
Human,3,2163
Human,3,2163
Human,3,287
Human,3,264
Human,3,423
Human,3,57
Human,5,279
Human,5,8070
Human,5,2130
Human,5,8334
Human,5,8259
Human,5,4422
Human,5,462
Human,5,578
Human,5,534
Human,5,8112
Human,6,1005
Human,6,680
Human,3,1152
Human,3,663
Human,3,1149
Human,3,1149
Human,3,1152
Human,3,255
Human,3,171
Human,3,672
Human,3,702
Human,3,522
Human,3,321
Human,3,55
Human,3,50
Human,3,336
Human,3,459
Human,3,336
Human,3,267
Human,6,972
Human,6,187
Human,6,972
Human,4,906
Human,4,609
Human,4,618
Human,6,642
Human,4,324
Human,4,324
Human,4,324
Human,4,870
Human,4,180
Human,4,616
Human,6,2661
Human,6,328
Human,6,447
Human,6,486
Human,6,1242
Human,6,21
Human,6,135
Human,6,117
Human,1,1524
Human,1,1521
Human,1,1527
Human,1,801
Human,1,711
Human,1,394
Human,1,524
Human,1,252
Human,1,39
Human,1,115
Human,1,1527
Human,1,1401
Human,6,1176
Human,6,67
Human,6,217
Human,6,1305
Human,6,527
Human,6,918
Human,6,333
Human,6,569
Human,5,2190
Human,5,2025
Human,5,1146
Human,0,1137
Human,5,326
Human,5,495
Human,5,476
Human,5,405
Human,5,174
Human,5,855
Human,5,852
Human,5,303
Human,4,507
Human,4,507
Human,4,507
Human,4,300
Human,0,4503
Human,0,4500
Human,0,4755
Human,0,4401
Human,0,4656
Human,0,4665
Human,0,2541
Human,0,1522
Human,0,5
Human,0,4758
Human,6,148
Human,6,387
Human,6,1320
Human,6,366
Human,3,1371
Human,3,1473
Human,3,1341
Human,3,885
Human,3,1764
Human,3,513
Human,3,387
Human,6,2112
Human,6,2103
Human,6,427
Human,6,1248
Human,6,1290
Human,6,1290
Human,0,1545
Human,0,1548
Human,0,1413
Human,6,1206
Human,6,612
Human,6,645
Human,6,645
Human,2,2961
Human,2,2934
Human,2,2997
Human,2,3048
Human,2,1374
Human,4,741
Human,4,114
Human,4,207
Human,4,369
Human,4,798
Human,4,798
Human,4,333
Human,4,556
Human,4,420
Human,4,402
Human,6,1308
Human,6,1134
Human,6,1211
Human,6,729
Human,3,627
Human,3,1740
Human,3,225
Human,3,339
Human,4,1725
Human,4,1764
Human,4,1653
Human,4,665
Human,6,330
Human,6,207
Human,6,330
Human,6,330
Human,6,225
Human,6,217
Human,6,2112
Human,6,2103
Human,6,427
Human,0,1632
Human,0,504
Human,0,534
Human,0,312
Human,0,906
Human,0,996
Human,0,582
Human,0,109
Human,0,438
Human,0,672
Human,6,744
Human,6,666
Human,6,570
Human,6,1809
Human,6,1881
Human,6,1671
Human,6,245
Human,6,159
Human,6,1824
Human,4,1347
Human,4,1986
Human,4,1986
Human,4,397
Human,5,1518
Human,0,1146
Human,0,1146
Human,0,1005
Human,1,2028
Human,1,2028
Human,1,2028
Human,6,3024
Human,6,603
Human,6,597
Human,6,2709
Human,6,2721
Human,6,573
Human,6,297
Human,6,1152
Human,6,1212
Human,6,1122
Human,3,3795
Human,3,865
Human,3,522
Human,4,1464
Human,4,246
Human,4,183
Human,4,1662
Human,4,846
Human,4,793
Human,4,1662
Human,6,693
Human,6,678
Human,6,436
Human,6,915
Human,6,927
Human,6,645
Human,6,558
Human,3,417
Human,3,642
Human,3,936
Human,3,171
Human,6,1503
Human,6,1452
Human,6,1314
Human,0,1077
Human,3,3192
Human,3,978
Human,3,345
Human,3,3282
Human,3,3186
Human,1,3417
Human,1,1140
Human,6,768
Human,6,798
Human,6,483
Human,6,417
Human,6,564
Human,0,2724
Human,0,2508
Human,0,2652
Human,4,429
Human,4,429
Human,4,429
Human,3,2136
Human,3,2013
Human,3,471
Human,3,463
Human,3,435
Human,3,384
Human,3,379
Human,3,162
Human,3,2136
Human,6,330
Human,6,1728
Human,0,1044
Human,6,1398
Human,6,1005
Human,6,387
Human,0,1650
Human,0,210
Human,0,1290
Human,0,948
Human,0,3648
Human,5,2190
Human,5,2025
Human,5,1146
Human,3,3192
Human,3,978
Human,3,345
Human,3,3186
Human,3,3282
Human,6,807
Human,4,379
Human,4,1095
Human,4,462
Human,4,482
Human,4,1167
Human,4,2106
Human,4,2106
Human,4,2106
Human,4,771
Human,4,588
Human,0,1137
Human,6,501
Human,4,1527
Human,4,1401
Human,0,237
Human,0,2445
Human,0,2433
Human,0,2445
Human,0,946
Human,0,1002
Human,0,116
Human,5,2907
Human,5,1161
Human,5,1161
Human,1,1269
Human,1,250
Human,1,262
Human,1,249
Human,1,196
Human,1,122
Human,2,996
Human,2,1061
Human,2,851
